DBA,ZIP,TYPE,CITY,YEAR_FIRST,YEAR_LAST,MONTH_FIRST,MONTH_LAST
ALTERNATIVE MEDICINE COLORADO SPRINGS,80905.0,Med,Colorado Springs,2014,2014,2,1
ALTERNATIVE MEDICINE ON CAPITOL HILL,80218.0,"Med, Rec",Denver,2014,2022,12,11
ALTERNATIVE MEDICINE ON CAPITOL HILL ,80218.0,Med,Denver,2020,2022,9,11
ALTITUDE AURORA,80010.0,Rec,Aurora,2014,2022,12,7
ALTITUDE EAST,80224.0,"Med, Rec",Denver,2014,2022,12,12
ALTITUDE ORGANIC CANNABIS,80435.0,"Rec, Med",Dillon,2016,2022,9,12
ALTITUDE ORGANIC CANNABIS,80498.0,Rec,Dillon,2015,2016,12,2
ALTITUDE ORGANIC MEDICINE,80903.0,Med,Colorado Springs,2015,2022,12,12
ALTITUDE ORGANIC MEDICINE,80905.0,Med,Colorado Springs,2014,2015,3,4
ALTITUDE ORGANIC MEDICINE,80907.0,Med,Colorado Springs,2015,2022,12,12
ALTITUDE ORGANIC MEDICINE,80909.0,Med,Colorado Springs,2015,2022,12,7
ALTITUDE ORGANIC MEDICINE,80918.0,Med,Colorado Springs,2015,2022,12,7
ALTITUDE ORGANICS,80498.0,Rec,Silverthorne,2015,2015,3,8
ALTITUDE WELLNESS CENTER,80231.0,"Med, Rec",Denver,2014,2015,12,4
ALTITUDE WEST,80219.0,Rec,Denver,2014,2022,12,12
AMENDMENT 20 CAREGIVERS,80909.0,Med,Colorado Springs,2014,2014,2,1
AMERICAN GREEN,81620.0,Med,Avon,2016,2016,7,7
AMERICAN PRIDE GROWERS,81006.0,Med,Pueblo,2014,2015,12,11
AMERICAN WELLNESS CENTER,80903.0,Med,Colorado Springs,2016,2017,9,5
AMERICAN WELLNESS CENTER,80907.0,Med,Colorado Springs,2014,2015,12,11
AMSTERDAM CAFE,80223.0,"Med, Rec",Denver,2014,2019,12,6
ANIMAS HERBAL WELLNESS CENTER INC,81301.0,"Med, Rec",Durango,2014,2017,4,9
ANNA,81639.0,Rec,Hayden,2022,2022,9,12
ANNIE'S DISPENSARY,80427.0,"Med, Rec",Central City,2014,2018,12,3
ANNIE?S DISPENSARY,80427.0,Med,Central City,2014,2014,3,3
ANTERO JUNCTION,80449.0,Rec,Hartsel,2014,2017,12,9
APOTHECARY FARMS,80210.0,"Med, Rec",Denver,2020,2022,1,12
APOTHECARY FARMS,80909.0,Med,Colorado Springs,2020,2022,8,8
APOTHECARY FARMS,80910.0,Med,Colorado Springs,2016,2022,9,11
APOTHECARY FARMS,81006.0,"Med, Rec",Pueblo,2020,2022,1,12
APOTHECARY OF COLORADO,80239.0,Med,Denver,2014,2015,12,10
APOTHEKE,80916.0,Med,Colorado Springs,2019,2020,6,8
AROMA,80022.0,Rec,Commerce City,2016,2021,9,5
ARTISANAL MEDICINALS,80223.0,Med,Denver,2014,2016,12,4
ARTISTANT DISPENSARY CTR INC,80905.0,Med,Colorado Springs,2018,2018,7,6
ASCEND CANNABIS CO,80120.0,"Med, Rec",Littleton,2018,2022,4,8
ASCEND CANNABIS CO,80226.0,"Med, Rec",Lakewood,2016,2022,9,12
ASCEND CANNABIS CO,80237.0,Rec,Denver,2022,2022,2,12
ASCEND CANNABIS CO,81211.0,Med,Buena Vista,2019,2022,7,6
ASCEND II,80237.0,"Med, Rec",Denver,2016,2022,10,12
ASCEND II,81211.0,Rec,Buena Vista,2021,2022,6,12
ASPEN GREEN DRAGON,81611.0,"Med, Rec",Aspen,2014,2017,12,3
ASPEN ROARING FORK WELLNESS,81621.0,Med,Basalt,2014,2021,12,4
ASPEN VALLEY STATION,81621.0,Rec,Basalt,2018,2018,8,9
AT HOME REMEDIES INC,80212.0,"Med, Rec",Denver,2014,2016,12,2
Ajoya,80027.0,"Med, Rec",Louisville,2015,2022,11,12
Ajoya Medical Cannabis,80215.0,Med,Lakewood,2022,2022,12,12
Alpine Essentials,80133.0,Med,Palmer Lake,2022,2022,11,12
Alpine Wellness,81423.0,Rec,Norwood,2022,2022,5,12
Altitude Aurora,80010.0,Rec,Aurora,2022,2022,8,12
Altitude East,80224.0,Med,Denver,2022,2022,11,12
Altitude Organic Medicine ,80909.0,Med,Colorado Springs,2022,2022,11,12
Altitude Organic Medicine ,80918.0,Med,Colorado Springs,2022,2022,11,12
Alto,80223.0,Med,Denver,2022,2022,7,8
Apothecary Farms,80909.0,Med,Colorado Springs,2022,2022,11,12
Apothecary Farms,80910.0,Med,Colorado Springs,2015,2022,12,12
Apothecary Farms,81006.0,Med,Pueblo,2022,2022,12,12
Ascend Cannabis Co.,80120.0,"Rec, Med",Littleton,2022,2022,1,12
Ascend Cannabis Co.,80226.0,Med,Lakewood,2022,2022,11,12
Ascend Cannabis Co.,81211.0,Med,Buena Vista,2022,2022,7,12
B GOOD,80234.0,"Med, Rec",Northglenn,2016,2022,9,12
B.GOOD,80234.0,Med,Northglenn,2016,2016,3,2
BACK TO THE GARDEN,80210.0,Med,Denver,2014,2017,12,9
BACK TO THE GARDEN HEALTH & WELLNESS CENTER,80210.0,"Rec, Med",Denver,2015,2020,12,4
BACK TO THE GARDEN HEALTH AND WELLNESS CENTER,80210.0,Rec,Denver,2014,2019,12,4
"BACK TO THE GARDEN HEALTH AND WELLNESS CENTER,",80210.0,Rec,Denver,2014,2014,3,2
BACK TO THE GARDENS,80210.0,Med,Denver,2014,2014,4,6
BACKCOUNTRY CANNABIS COMPANY,80424.0,Rec,Breckenridge,2015,2016,12,4
BACKCOUNTRY CANNABIS COMPANY,81224.0,Rec,Crested Butte,2015,2022,12,7
BALLPARK HOLISTIC DISPENSARY,80205.0,"Med, Rec",Denver,2014,2019,12,10
"BALLPARK HOLISTIC DISPENSARY,",80205.0,Med,Denver,2014,2014,7,7
BASECAMP CANNABIS,80482.0,Rec,Winter Park,2022,2022,6,12
BBM ENTERPRISES,80302.0,"Med, Rec",Boulder,2019,2019,2,8
BBM ENTERPRISES,80540.0,"Med, Rec",Lyons,2019,2019,2,12
BDE,81611.0,Rec,Aspen,2016,2017,9,1
BEACON WELLNESS GROUP,81321.0,Med,Cortez,2014,2015,12,3
BEACON WELLNESS GROUP II,81328.0,Med,Mancos,2014,2014,12,10
BEDDOR CLAUDE,80215.0,Med,Wheat Ridge,2014,2014,1,1
BELEAF WELLNESS CENTER,81152.0,Rec,San Luis,2015,2022,12,11
BELLFLOWER,80424.0,"Med, Rec",Breckenridge,2018,2018,6,5
BEMINDFUL,80220.0,"Med, Rec",Denver,2014,2020,12,5
BEMINDFUL,80513.0,"Med, Rec",Berthoud,2014,2020,12,6
BEMINDFUL,80909.0,Med,Colorado Springs,2014,2020,11,5
BERKELEY DISPENSARY,80002.0,Rec,Arvada,2019,2022,4,12
BERKELEY MMC,80212.0,"Med, Rec",Mountain View,2014,2015,12,4
BERLIN INTERNATIONAL,81632.0,Med,Edwards,2015,2015,7,8
BEST BUDS,81230.0,Rec,Gunnison,2016,2016,9,9
BEST BUDS INC,81230.0,Rec,Gunnison,2016,2017,10,9
BEST BUDZ,80907.0,Med,Colorado Springs,2016,2022,9,12
BEST BUDZ,80909.0,Med,Colorado Springs,2016,2020,9,2
BEST BUDZ,80918.0,Med,Colorado Springs,2014,2022,12,12
BEST COLORADO CANNABIS,80033.0,"Med, Rec",Wheat Ridge,2018,2022,12,12
BEST COLORADO MEDS,80524.0,Med,Fort Collins,2014,2015,12,4
BEST COLORADO MEDS,80525.0,Med,Fort Collins,2014,2014,7,7
BEST COLORADO MEDS ORG,80524.0,Med,Fort Collins,2016,2016,9,8
BEST COLORADO MEDS.ORG,80033.0,Med,Wheat Ridge,2021,2021,3,12
BEST COLORADO MEDS.ORG,80524.0,"Med, Rec",Fort Collins,2015,2016,12,4
BEST DAY EVER,81601.0,Rec,Glenwood Springs,2017,2022,9,12
BEST DAY EVER,81611.0,Rec,Aspen,2017,2022,9,12
BEST HIGH,80211.0,Rec,Denver,2022,2022,5,12
BEST HIGH,80220.0,Rec,Denver,2022,2022,4,12
BEST MEDS,80904.0,Med,Colorado Springs,2019,2022,9,10
BEST MEDS,80907.0,Med,Colorado Springs,2016,2019,10,8
BESTCOLORADOMEDS.ORG,80033.0,"Rec, Med",Wheat Ridge,2014,2018,12,5
BETTER GREEN,81054.0,Rec,Las Animas,2020,2022,2,11
"BEYOND BROADWAY,",80209.0,Rec,Denver,2014,2015,12,4
BGOOD,80110.0,Rec,Englewood,2019,2021,4,2
BGOOD,80234.0,Rec,Northglenn,2019,2022,3,12
BGOOD,80260.0,Rec,Federal Heights,2018,2020,8,1
BGOOD APOTHECARY,80110.0,"Med, Rec",Englewood,2017,2022,9,4
BGOOD APOTHECARY,80209.0,Med,Denver,2014,2022,12,12
BGOOD APOTHECARY,80260.0,Med,Federal Heights,2016,2020,9,1
BGOOD VENTURES,80110.0,Rec,Englewood,2022,2022,4,11
BIG MEDICINE CANNABISSARY,80907.0,Med,Colorado Springs,2014,2022,12,12
BIG TOE,80239.0,Med,Denver,2015,2016,12,4
BIJOU WELLNESS CENTER,80909.0,Med,Colorado Springs,2014,2014,8,6
BILLO,80487.0,"Med, Rec",Steamboat Springs,2018,2022,4,12
BINSKE,81611.0,Rec,Aspen,2017,2018,9,3
BIOENERGETIC HEALING CENTER,80443.0,"Med, Rec",Frisco,2014,2014,12,6
BIOHEALTH,80224.0,Med,Denver,2014,2014,4,2
BIOMEDS,80905.0,Med,Colorado Springs,2014,2022,12,11
BK HOLDINGS,80239.0,Med,Denver,2014,2015,12,11
BLACK DOG VALLEY,81623.0,Med,Carbondale,2016,2019,9,1
BLACKJACK CANNABIS,80482.0,Rec,Winter Park,2022,2022,6,11
BLEND,81328.0,Rec,Mancos,2018,2022,4,11
BLUE HERON DISPENSARY,80467.0,Rec,Oak Creek,2017,2022,11,9
BOBBY BROWN BEST BUDS,80903.0,Med,Colorado Springs,2018,2022,12,12
BONFIRE CANNABIS,80427.0,Rec,Central City,2018,2022,4,12
BONFIRE CANNABIS,80452.0,Rec,Idaho Springs,2018,2022,4,12
BONFIRE CANNABIS COMPANY,80216.0,"Med, Rec",Denver,2016,2022,9,12
BONFIRE CANNABIS COMPANY,80478.0,Rec,Tabernash,2016,2022,9,6
BONFIRE CANNABIS COMPANY,81621.0,Med,Basalt,2022,2022,1,12
BORDER BUDS,81303.0,Rec,Durango,2021,2022,4,9
BOTANACARE,80234.0,Med,Northglenn,2014,2016,12,1
BOTANACARE 21+,80234.0,Rec,Northglenn,2014,2016,12,1
BOTANICO,80205.0,"Med, Rec",Denver,2014,2016,12,2
BOTANICO 2,80204.0,"Med, Rec",Denver,2019,2021,10,4
BOTANICO INC,80205.0,Rec,Denver,2016,2021,9,4
BOTICA DEL SOL,80209.0,Med,Denver,2014,2016,12,2
BOULDER BOTANICS,80301.0,"Med, Rec",Boulder,2014,2019,12,9
BOULDER MARIJUANA CO,80301.0,Med,Boulder,2014,2014,2,2
BOULDER MARIJUANA CO.,80301.0,Rec,Boulder,2014,2015,12,3
BOULDER MARIJUANA COMPANY,80301.0,Med,Boulder,2014,2014,7,6
BOULDER MEDICAL MARIJUANA DISPENSARY,80301.0,Med,Boulder,2014,2014,1,1
BOULDER MMJ,80302.0,"Rec, Med",Boulder,2014,2019,7,10
BOULDER MMJ,80305.0,Med,Boulder,2014,2015,12,10
BOULDER VITAL HERBS,80301.0,Med,Boulder,2014,2014,4,1
BOULDER WELLNESS,80303.0,Med,Boulder,2021,2021,10,10
BOULDER WELLNESS CANNABIS COMPANY,80303.0,"Med, Rec",Boulder,2021,2022,11,11
BOULDER WELLNESS CANNABIS COMPANY,80304.0,Rec,Boulder,2022,2022,12,12
BOULDER WELLNESS CENTER,80303.0,"Med, Rec",Boulder,2014,2021,12,2
BRECKENRIDGE CANNABIS CLUB,80424.0,Rec,Breckenridge,2014,2015,12,3
"BRECKENRIDGE ORGANIC THERAPHY,",80424.0,Med,Breckenridge,2014,2014,4,1
BRECKENRIDGE ORGANIC THERAPY,80424.0,Rec,Breckenridge,2014,2022,12,11
BRECKENRIDGE ORGANIX,80424.0,Med,Breckenridge,2014,2016,12,4
BRIARGATE WELLNESS CENTER,80918.0,Med,Colorado Springs,2014,2022,12,10
BROADMOOR WELLNESS,80905.0,Med,Colorado Springs,2014,2014,7,6
BROW ACQUISITIONS THORNTON,80233.0,Rec,Thornton,2020,2020,6,7
BTE,80204.0,"Med, Rec",Denver,2017,2017,5,5
BUD BUM,80223.0,"Med, Rec",Denver,2019,2021,7,4
BUD CELLAR,80216.0,Rec,Denver,2015,2020,12,11
BUD CELLAR,80223.0,"Med, Rec",Denver,2014,2015,8,4
BUD EZ,80903.0,Med,Colorado Springs,2016,2022,9,12
BUD EZ,80907.0,Med,Colorado Springs,2016,2018,9,1
BUD FARM,81328.0,"Med, Rec",Mancos,2015,2021,12,3
BUD HUT INC,81089.0,Rec,Walsenburg,2015,2022,12,11
BUD MED HEALTH CENTERS,80214.0,"Med, Rec",Edgewater,2014,2015,12,8
"BUD MED HEALTH CENTERS,",80214.0,"Med, Rec",Edgewater,2014,2014,3,1
BUDCARDI,80223.0,"Med, Rec",Denver,2021,2022,5,3
BUDDIES WELLNESS,80223.0,Med,Denver,2014,2016,12,4
BUDDY BOY,80204.0,Med,Denver,2014,2022,12,12
BUDDY BOY,80205.0,"Med, Rec",Denver,2014,2022,12,12
BUDDY BOY,80212.0,"Med, Rec",Denver,2014,2022,12,12
BUDDY BOY,80216.0,"Med, Rec",Denver,2014,2022,12,12
BUDDY BOY,80219.0,"Med, Rec",Denver,2014,2022,12,12
BUDDY BOY,80221.0,Med,Denver,2014,2015,12,4
BUDDY BOY,80223.0,Med,Denver,2014,2022,12,12
BUDS,81630.0,Rec,De Beque,2017,2022,9,11
BUDS LTD,81635.0,Rec,Parachute,2015,2022,12,11
"BUDS,",81630.0,Rec,De Beque,2017,2018,11,5
BUENA SUERTE COMPANY,80020.0,"Med, Rec",Broomfield,2022,2022,6,11
BUFFALO BIOTECH,81611.0,Rec,Aspen,2019,2020,3,8
BUFFALO BIOTECH ,81611.0,Rec,Aspen,2020,2020,9,11
BUKU LOUD,80916.0,Med,Colorado Springs,2016,2022,9,12
BUSHES,80301.0,Med,Boulder,2016,2018,9,9
BUSHES,80302.0,Med,Boulder,2014,2016,12,4
B_x0081_?GOOD,80234.0,Rec,Northglenn,2016,2016,3,2
Backcountry Cannabis Company,81224.0,Rec,Crested Butte,2022,2022,8,12
Backstage Grass,81212.0,Med,Canon City,2022,2022,11,12
Baxter Springs Dispensary,81610.0,Rec,Dinosaur,2022,2022,9,12
Beacon Wellness Group II,81328.0,Med,Mancos,2014,2014,8,6
Billo,80487.0,Med,Steamboat Springs,2022,2022,12,12
BioMeds,80905.0,Med,Colorado Springs,2022,2022,12,12
BlackJack Cannabis,81625.0,Rec,Craig,2022,2022,8,12
Blue Heron Dispensary,80467.0,Rec,Oak Creek,2022,2022,10,12
Bonfire Cannabis Company,80478.0,Rec,Tabernash,2022,2022,7,12
Border Buds,81303.0,Rec,Durango,2022,2022,10,12
Boulder Wellness Cannabis Company,80303.0,Med,Boulder,2022,2022,11,12
Briargate Wellness Center,80918.0,Med,Colorado Springs,2022,2022,11,12
C1B TRUE ORGANICS,81089.0,Rec,Walsenburg,2019,2022,11,11
CABIN CANNABIS,81230.0,Rec,Gunnison,2018,2022,12,12
CALLIE'S,80204.0,"Med, Rec",Denver,2021,2022,5,12
CALLIE'S,80205.0,Rec,Denver,2021,2022,5,12
CALLIES,80234.0,Rec,Northglenn,2019,2022,11,12
CAM,80210.0,Rec,Denver,2014,2015,12,4
CAM CORP,80210.0,Med,Denver,2014,2014,8,6
CAM CORPORATION,80210.0,Med,Denver,2014,2015,12,4
CANNA BOTICA,80223.0,"Med, Rec",Denver,2016,2022,9,12
CANNA CABANA,80421.0,Rec,Bailey,2015,2016,12,4
CANNA CABINET,81004.0,Med,Pueblo,2016,2016,9,4
CANNA CABINET INC,81004.0,"Med, Rec",Pueblo,2014,2022,12,11
CANNA CAREGIVERS,80917.0,Med,Colorado Springs,2014,2018,12,9
CANNA CAREGIVERS WEST,80904.0,Med,Colorado Springs,2014,2018,12,3
CANNA CENTER,80222.0,Med,Denver,2014,2014,8,6
CANNA CITY,80022.0,Rec,Commerce City,2019,2020,10,8
CANNA CITY,81082.0,Rec,Trinidad,2017,2022,11,10
CANNA CITY,81089.0,Rec,Walsenburg,2018,2022,12,12
CANNA CITY ,80022.0,Rec,Commerce City,2020,2022,9,12
CANNA KING,80526.0,Med,Fort Collins,2014,2014,8,6
CANNA MEDS WELLNESS CENTER,80909.0,Med,Colorado Springs,2014,2022,12,12
CANNA MEDS WELLNESS CENTERS,80909.0,Med,Colorado Springs,2015,2018,12,1
CANNABIS,80212.0,"Med, Rec",Denver,2016,2016,3,3
CANNABIS CARE WELLNESS CENTER,80524.0,Med,Fort Collins,2014,2014,4,1
"CANNABIS CARE WELLNESS CENTER,",80631.0,"Med, Rec",Garden City,2014,2014,7,6
CANNABIS CONNECTION,80907.0,Med,Colorado Springs,2015,2019,12,12
CANNABIS FOR HEALTH,80204.0,Med,Denver,2016,2016,9,10
CANNABIS FOR HEALTH,80209.0,Med,Denver,2014,2014,3,1
"CANNABIS FOR HEALTH,",80209.0,Med,Denver,2014,2014,8,6
CANNABIS STATION,80202.0,"Med, Rec",Denver,2016,2022,9,12
CANNABIS STATION,80205.0,Rec,Denver,2014,2016,12,2
CANNABIS THERAPEUTICS,80907.0,Med,Colorado Springs,2014,2014,7,6
CANNABIS YUMMY STRAINS,80916.0,Med,Colorado Springs,2017,2020,9,9
CANNACO,81082.0,"Rec, Med",Trinidad,2015,2022,12,12
CANNACO II,81089.0,Rec,Walsenburg,2021,2022,3,6
CANNACURA,80916.0,Med,Colorado Springs,2020,2021,10,11
CANNAFARMER FARM STORE,81433.0,Rec,Silverton,2018,2022,12,6
CANNAJUANA,80223.0,Med,Denver,2019,2022,11,7
CANNAMART,80120.0,Med,Littleton,2014,2015,12,4
CANNAMART,80236.0,"Med, Rec",Denver,2014,2015,12,4
CANNASSEUR,80909.0,Med,Colorado Springs,2015,2019,12,3
CANNASSEUR,81003.0,Rec,Pueblo,2019,2021,4,3
CANNASSEUR,81007.0,"Med, Rec",Pueblo West,2014,2022,12,12
CANNASSEUR,81082.0,Rec,Trinidad,2017,2019,9,3
CANNIKA,81632.0,"Med, Rec",Edwards,2014,2015,12,4
CAREGIVERS FOR LIFE,80206.0,"Med, Rec",Denver,2014,2020,12,4
CBB AND FRIENDS,81006.0,Med,Pueblo,2015,2016,12,2
CENTENNIAL HOLDINGS ,80216.0,Rec,Denver,2021,2021,1,2
CG LABS,80216.0,Rec,Denver,2019,2020,8,10
CHAMPION CANNABIS,80219.0,"Med, Rec",Denver,2016,2017,9,5
CHERRY PEAK,80246.0,"Rec, Med",Glendale,2018,2022,8,12
CHOICE ORGANICS INC,80524.0,"Med, Rec",Fort Collins,2014,2021,12,10
"CHOICE ORGANICS, INC.",80524.0,"Med, Rec",Fort Collins,2014,2014,3,1
CHRONIC THERAPY,80022.0,Rec,Commerce City,2015,2016,12,4
CHRONIC THERAPY,80215.0,"Med, Rec",Wheat Ridge,2014,2022,4,9
CHRONIC THERAPY CORTEZ,81321.0,Rec,Cortez,2018,2021,4,2
CHRONIC THERAPY-CORTEZ,81321.0,Rec,Cortez,2021,2022,3,11
CHRONORADO,80224.0,Med,Denver,2017,2020,9,8
CHRONORADO ,80224.0,Med,Denver,2020,2022,9,10
CHRONORADO MEDICAL,80224.0,Med,Denver,2014,2017,8,3
CITI-MED,80210.0,"Med, Rec",Denver,2014,2014,8,6
"CITI-MED,",80210.0,"Med, Rec",Denver,2014,2014,3,1
CLDC,81230.0,Rec,Gunnison,2022,2022,4,11
CLEARANCE CANNABIS CO,80110.0,Rec,Sheridan,2019,2022,4,12
CLEARANCE CANNABIS CO.,81082.0,Rec,Trinidad,2019,2022,5,8
CLINIC 5280,80905.0,Med,Colorado Springs,2014,2016,12,4
CLINIC 5280,80910.0,Med,Colorado Springs,2015,2018,12,5
CLOUD 9 CAREGIVERS,80631.0,"Med, Rec",Garden City,2014,2014,3,1
CLOUD CITY COMPASSIONATE CARE,80461.0,"Med, Rec",Leadville,2014,2014,12,6
CLUB CANNA,80503.0,Rec,Longmont,2018,2018,2,3
CMED,81623.0,Rec,Carbondale,2014,2016,12,4
"CMED,",81623.0,Rec,Carbondale,2014,2014,2,1
COLOMED,81401.0,Med,Montrose,2014,2014,8,6
COLOMED CENTER,81623.0,Med,Carbondale,2014,2015,12,3
COLORADO APOTHECARY & WELLNESS CENTER INC,80223.0,Med,Denver,2014,2017,12,9
